"","day","positive","negative","neutral","Date","Open","High","Low","Close"
"1",1,0.303575,0.4488,0.247625,"17/02/16",16217.98,16486.12,16217.98,16453.83
"2",2,0.307075,0.444325,0.2486,"18/02/16",16483.76,16511.84,16390.43,16413.43
"3",3,0.342925,0.4031,0.253975,"19/02/16",16410.96,16410.96,16278,16391.99
"4",4,0.35075,0.3884,0.26085,"20/02/16",16414.045,16537.6,16347.565,16506.325
"5",5,0.3221,0.429575,0.248325,"21/02/16",16415.5875,16600.92,16382.3475,16563.4925
"6",6,0.321475,0.436225,0.2423,"22/02/16",16417.13,16664.24,16417.13,16620.66
"7",7,0.331125,0.414325,0.25455,"23/02/16",16610.39,16610.39,16403.53,16431.78
"8",8,0.319675,0.400025,0.2803,"24/02/16",16418.84,16507.39,16165.86,16484.99
"9",9,0.343875,0.404,0.252125,"25/02/16",16504.38,16697.98,16458.42,16697.29
"10",10,0.33035,0.41605,0.2536,"26/02/16",16712.7,16795.98,16623.91,16639.97
"11",11,0.324875,0.41745,0.257675,"27/02/16",16673.425,16761.05,16567.155,16578.235
"12",12,0.31295,0.4427,0.24435,"28/02/16",16653.7875,16743.585,16538.7775,16547.3675
"13",13,0.35625,0.40415,0.2396,"29/02/16",16634.15,16726.12,16510.4,16516.5
"14",14,0.33475,0.41215,0.2531,"01/03/16",16545.67,16865.56,16545.67,16865.08
"15",15,0.31535,0.41315,0.2715,"02/03/16",16851.17,16900.17,16766.32,16899.32
"16",16,0.3295,0.42635,0.24415,"03/03/16",16896.17,16944.31,16820.73,16943.9
"17",17,0.34325,0.4014,0.25535,"04/03/16",16945,17062.38,16898.84,17006.77
"18",18,0.3037,0.41795,0.27835,"05/03/16",16968.145,17080.815,16919.66,17040.36
"19",19,0.31035,0.4354,0.25425,"06/03/16",16979.7175,17090.0325,16930.07,17057.155
"20",20,0.33985,0.3986,0.26155,"07/03/16",16991.29,17099.25,16940.48,17073.95
"21",21,0.3524,0.40715,0.24045,"08/03/16",17050.67,17072.79,16921.51,16964.1
"22",22,0.31415,0.41365,0.2722,"09/03/16",16969.17,17048.5,16947.94,17000.36
"23",23,0.32185,0.4242,0.25395,"10/03/16",17006.05,17130.11,16821.86,16995.13
"24",24,0.3198,0.4067,0.2735,"11/03/16",17014.99,17220.09,17014.99,17213.31
"25",25,0.30975,0.40415,0.2861,"12/03/16",17111.24,17247.58,17088.075,17221.22
"26",26,0.3301618,0.3736137,0.2962245,"13/03/16",17159.365,17261.325,17124.6175,17225.175
"27",27,0.32795,0.41055,0.2615,"14/03/16",17207.49,17275.07,17161.16,17229.13
"28",28,0.30595,0.4359,0.25815,"15/03/16",17217.15,17251.7,17120.35,17251.53
"29",29,0.32815,0.42775,0.2441,"16/03/16",17249.34,17379.18,17204.07,17325.76
"30",30,0.32385,0.427,0.24915,"17/03/16",17321.38,17529.01,17297.65,17481.49
"31",31,0.31875,0.44075,0.2405,"18/03/16",17481.49,17620.58,17481.49,17602.3
"32",32,0.3497,0.4084,0.2419,"19/03/16",17535.595,17632.775,17516.385,17613.085
"33",33,0.30745,0.45155,0.241,"20/03/16",17562.6475,17638.8725,17533.8325,17618.4775
"34",34,0.32555,0.4356,0.23885,"21/03/16",17589.7,17644.97,17551.28,17623.87
"35",35,0.31505,0.43445,0.2505,"22/03/16",17602.71,17648.94,17540.42,17582.57
"36",36,0.32775,0.40805,0.2642,"23/03/16",17588.81,17588.81,17486.27,17502.59
"37",37,0.36145,0.3893,0.24925,"24/03/16",17485.33,17517.14,17399.01,17515.73
"38",38,0.357,0.3939,0.2491,"25/03/16",17505.705,17550.475,17446.02,17525.56
"39",39,0.31475,0.41715,0.2681,"26/03/16",17515.8925,17567.1425,17469.525,17530.475
"40",40,0.31565,0.4386,0.24575,"27/03/16",17520.98625,17575.47625,17481.2775,17532.9325
"41",41,0.3241,0.4387,0.2372,"28/03/16",17526.08,17583.81,17493.03,17535.39
"42",42,0.3363,0.43185,0.23185,"29/03/16",17512.58,17642.81,17434.27,17633.11
"43",43,0.38045,0.39275,0.2268,"30/03/16",17652.36,17790.11,17652.36,17716.66
"44",44,0.3128,0.42585,0.26135,"31/03/16",17716.05,17755.7,17669.72,17685.09
"45",45,0.3163,0.4381,0.2456,"01/04/16",17661.74,17811.48,17568.02,17792.75
"46",46,0.3868,0.39265,0.22055,"02/04/16",17730.565,17808.93,17639.345,17764.875
"47",47,0.3713,0.4102,0.2185,"03/04/16",17764.9775,17807.655,17675.0075,17750.9375
"48",48,0.30075,0.46825,0.231,"04/04/16",17799.39,17806.38,17710.67,17737
"49",49,0.2966,0.46015,0.24325,"05/04/16",17718.03,17718.03,17579.56,17603.32
"50",50,0.3249,0.4173,0.2578,"06/04/16",17605.45,17723.55,17542.54,17716.05
"51",51,0.33035,0.41335,0.2563,"07/04/16",17687.28,17687.28,17484.23,17541.96
"52",52,0.3122,0.4122,0.2756,"08/04/16",17555.39,17694.51,17528.16,17576.96
"53",53,0.3217,0.43345,0.24485,"09/04/16",17570.935,17713.07,17542.03,17566.685
"54",54,0.3221,0.4289,0.249,"10/04/16",17578.7075,17722.35,17548.965,17561.5475
"55",55,0.3371,0.408,0.2549,"11/04/16",17586.48,17731.63,17555.9,17556.41
"56",56,0.31205,0.43935,0.2486,"12/04/16",17571.34,17744.43,17553.57,17721.25
"57",57,0.3429,0.41735,0.23975,"13/04/16",17741.66,17918.35,17741.66,17908.28
"58",58,0.33195,0.41965,0.2484,"14/04/16",17912.25,17962.14,17885.44,17926.43
"59",59,0.3413,0.4111,0.2476,"15/04/16",17925.95,17937.65,17867.41,17897.46
